tau_confidence,tau_entropy,total_cases,accepted_cases,reviewed_cases,acceptance_rate,review_rate,total_errors,reviewed_errors,accepted_errors,error_capture_rate,accepted_accuracy,accepted_macro_f1,missed_referable,missed_referable_rate,missed_urgent,missed_urgent_rate
0.8,1.1905,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,1.3026,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.85,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.85,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.5183,549,218,331,0.3970856102003643,0.6029143897996357,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.6303,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.7424,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.8544,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,0.9664,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,1.0785,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,1.1905,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.85,1.3026,549,223,326,0.40619307832422585,0.5938069216757741,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.9,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.4062,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.5183,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.6303,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.7424,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.8544,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,0.9664,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,1.0785,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,1.1905,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.9,1.3026,549,166,383,0.302367941712204,0.697632058287796,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.95,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
